Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
Gilda Live,"Comedy, Documentary","['Gilda Radner', 'Don Novello', 'Paul Shaffer', 'Nils Nichols']","['Mike Nichols', 'Lorne Michaels']","Anne Beatts, Lorne Michaels, Marilyn Suzanne Miller, Don Novello, Michael O'Donoghue, Gilda Radner, Paul Shaffer, Rosie Shuster, Alan Zweibel",English,0,USA,28 Mar 1980,96 min,7.0,,tt0080790.jpg,"[484, 4271, 12995, 14491]","[3247, 3913]"
Just Tell Me What You Want,"Comedy, Romance","['Ali MacGraw', 'Alan King', 'Myrna Loy', 'Keenan Wynn']",['Sidney Lumet'],"Jay Presson Allen (novel), Jay Presson Allen (screenplay)",English,0,USA,18 Jan 1980,112 min,5.7,1 win & 1 nomination.,tt0080975.jpg,"[3316, 15511, 1915, 3690]",[2343]
Carny,Drama,"['Gary Busey', 'Jodie Foster', 'Robbie Robertson', 'Meg Foster']",['Robert Kaylor'],"Phoebe Kaylor (story), Robert Kaylor (story), Robbie Robertson (story), Thomas Baum (screenplay)",English,0,USA,23 May 1980,107 min,6.5,,tt0080500.jpg,"[13996, 5633, 15253, 2864]",[3450]
Nijinsky,"Biography, Drama, Music","['Alan Bates', 'George De La Pena', 'Leslie Browne', 'Alan Badel']",['Herbert Ross'],"Hugh Wheeler (screenplay), Romola Nijinsky (book), Vaslav Nijinsky (diary)",English,0,USA,21 Mar 1980,129 min,6.8,,tt0081235.jpg,"[3783, 7290, 913, 4519]",[2852]
Heart Beat,Drama,"['Nick Nolte', 'Sissy Spacek', 'John Heard', 'Ray Sharkey']",['John Byrum'],John Byrum,English,0,USA,24 Sep 1980,110 min,6.0,,tt0080854.jpg,"[861, 6958, 2869, 10750]",[3873]
One-Trick Pony,Drama,"['Paul Simon', 'Blair Brown', 'Rip Torn', 'Joan Hackett']",['Robert M. Young'],Paul Simon,English,0,USA,03 Oct 1980,98 min,5.8,1 nomination.,tt0081280.jpg,"[11213, 12138, 1188, 8785]",[1425]
"Those Lips, Those Eyes","Comedy, Romance","['Frank Langella', ""Glynnis O'Connor"", 'Tom Hulce', 'Jerry Stiller']",['Michael Pressman'],David Shaber,English,0,USA,15 Aug 1980,105 min,6.7,,tt0081625.jpg,"[10578, 1981, 12430, 1456]",[2890]
A Small Circle of Friends,Drama,"['Brad Davis', 'Karen Allen', 'Jameson Parker', 'Shelley Long']",['Rob Cohen'],Ezra Sacks,English,0,USA,09 Oct 1980,113 min,6.0,,tt0081528.jpg,"[1582, 4621, 903, 953]",[4646]
Home Movies,Comedy,"['Nancy Allen', 'Mary Davenport', 'Kirk Douglas', 'Vincent Gardenia']",['Brian De Palma'],"Kim Ambler, Brian De Palma (story), Dana Edelman, Robert Harders, Stephen Le May, Charlie Loventhal, Gloria Norris",English,0,USA,10 Apr 1980,90 min,5.3,,tt0079302.jpg,"[12988, 8673, 12177, 4795]",[439]
Breaking Glass,"Drama, Musical","['Phil Daniels', ""Hazel O'Connor"", 'Jon Finch', 'Jonathan Pryce']",['Brian Gibson'],Brian Gibson,English,0,UK,01 Sep 1980,104 min,7.0,1 nomination.,tt0080469.jpg,"[11646, 4262, 14605, 7467]",[3083]
