Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
Magic in the Moonlight,"Comedy, Romance","['Colin Firth', 'Antonia Clarke', 'Natasha Andrews', 'Valérie Beaulieu']",['Woody Allen'],Woody Allen,English,10506939,"USA, UK",15 Aug 2014,97 min,6.6,1 win & 1 nomination.,tt2870756.jpg,"[6995, 4263, 7217, 643]",[2871]
Moms' Night Out,Comedy,"['Sarah Drew', 'Sean Astin', 'Patricia Heaton', 'Trace Adkins']","['Andrew Erwin', 'Jon Erwin']","Jon Erwin, Andrea Gyertson Nasfell",English,10429707,USA,09 May 2014,98 min,5.4,,tt3014666.jpg,"[8667, 4332, 9318, 7255]","[4604, 3895]"
Inherent Vice,"Comedy, Crime, Drama","['Joanna Newsom', 'Katherine Waterston', 'Joaquin Phoenix', 'Jordan Christian Hearn']",['Paul Thomas Anderson'],"Paul Thomas Anderson (written for the screen by), Thomas Pynchon (based on the novel by)","English, Japanese",8093318,USA,09 Jan 2015,148 min,6.7,Nominated for 2 Oscars. Another 14 wins & 88 nominations.,tt1791528.jpg,"[2901, 14188, 2256, 7345]",[31]
Vampire Academy,"Action, Comedy, Fantasy","['Zoey Deutch', 'Lucy Fry', 'Danila Kozlovsky', 'Gabriel Byrne']",['Mark Waters'],"Richelle Mead (novel), Daniel Waters (screenplay)",English,7791146,"USA, UK, Romania",07 Feb 2014,104 min,5.6,2 nominations.,tt1686821.jpg,"[10673, 13018, 4370, 6077]",[2092]
The Skeleton Twins,"Comedy, Drama","['Bill Hader', 'Kristen Wiig', 'Luke Wilson', 'Ty Burrell']",['Craig Johnson'],"Craig Johnson, Mark Heyman",English,5283379,USA,11 Sep 2014,93 min,6.9,4 wins & 10 nominations.,tt1571249.jpg,"[3277, 12190, 2105, 11400]",[3509]
My Old Lady,"Comedy, Drama, Romance","['Kevin Kline', 'Michael Burstin', 'Elie Wajeman', 'Maggie Smith']",['Israel Horovitz'],"Israel Horovitz (written for the screen by), Israel Horovitz (play)",English,4011530,"USA, UK, France",21 Nov 2014,107 min,6.3,1 win.,tt2908856.jpg,"[1525, 14260, 5761, 13871]",[4538]
Wish I Was Here,"Comedy, Drama","['Zach Braff', 'Pierce Gagnon', 'Kate Hudson', 'Joey King']",['Zach Braff'],"Adam J. Braff, Zach Braff",English,3588432,USA,25 Jul 2014,106 min,6.7,3 nominations.,tt2870708.jpg,"[9158, 13336, 5641, 5645]",[1784]
Before I Go to Sleep,"Drama, Mystery, Thriller","['Nicole Kidman', 'Colin Firth', 'Mark Strong', 'Ben Crompton']",['Rowan Joffe'],"Rowan Joffe, S.J. Watson (based on the novel by)",English,2963012,"UK, USA, France, Sweden",31 Oct 2014,92 min,6.3,,tt1726592.jpg,"[9238, 6995, 5328, 9362]",[1590]
The Identical,"Drama, Music","['Ray Liotta', 'Ashley Judd', 'Seth Green', 'Joe Pantoliano']",['Dustin Marcellino'],Howard Klausner,English,2817092,USA,05 Sep 2014,107 min,5.1,1 win.,tt2326574.jpg,"[2238, 11800, 4400, 3999]",[951]
The Good Lie,Drama,"['Reese Witherspoon', 'Arnold Oceng', 'Ger Duany', 'Emmanuel Jal']",['Philippe Falardeau'],Margaret Nagle,English,2716989,"Kenya, India, USA",14 Nov 2014,110 min,7.4,2 wins & 3 nominations.,tt2652092.jpg,"[9197, 3390, 5547, 8145]",[4222]
Bang Bang,"Action, Adventure, Comedy","['Hrithik Roshan', 'Katrina Kaif', 'Pavan Malhotra', 'Danny Denzongpa']",['Siddharth Anand'],"Sujoy Ghosh (screenplay), Suresh Nair (screenplay), Patrick O'Neill (original story), Abbas Tyrewala (dialogue)","Hindi, Telugu, Tamil",2546172,India,02 Oct 2014,153 min,5.5,1 win & 6 nominations.,tt2905838.jpg,"[13642, 3241, 617, 5377]",[3272]
Kick,"Action, Comedy, Romance","['Salman Khan', 'Jacqueline Fernandez', 'Nawazuddin Siddiqui', 'Randeep Hooda']",['Sajid Nadiadwala'],"Vakkantham Vamsi (story), Rajat Arora (screenplay), Keith Gomes (screenplay), Sajid Nadiadwala (screenplay), Chetan Bhagat (additional screenplay), Rajat Arora (dialogue)",Hindi,2461031,India,25 Jul 2014,146 min,5.5,5 wins & 12 nominations.,tt2372222.jpg,"[6626, 2863, 12874, 14755]",[3054]
The Homesman,"Drama, Western","['Tommy Lee Jones', 'Hilary Swank', 'Grace Gummer', 'Miranda Otto']",['Tommy Lee Jones'],"Tommy Lee Jones (screenplay), Kieran Fitzgerald (screenplay), Wesley A. Oliver (screenplay), Glendon Swarthout (novel)","English, Danish",2428883,"USA, France",18 May 2014,122 min,6.6,4 wins & 13 nominations.,tt2398231.jpg,"[1369, 5343, 14508, 11849]",[1762]
Love Is Strange,Drama,"['John Lithgow', 'Alfred Molina', 'Tatyana Zbirovskaya', 'Olya Zueva']",['Ira Sachs'],"Ira Sachs, Mauricio Zacharias","English, Russian",2252580,"USA, France, Brazil, Greece",12 Nov 2014,94 min,6.8,3 wins & 17 nominations.,tt2639344.jpg,"[14984, 4460, 2267, 646]",[1160]
Tusk,"Comedy, Drama, Horror","['Michael Parks', 'Justin Long', 'Genesis Rodriguez', 'Haley Joel Osment']",['Kevin Smith'],Kevin Smith,English,1821983,USA,19 Sep 2014,102 min,5.4,1 win & 4 nominations.,tt3099498.jpg,"[8146, 6414, 10220, 1334]",[785]
Jai Ho,"Action, Drama","['Salman Khan', 'Tabu', 'Sunil Shetty', ""Genelia D'Souza""]",['Sohail Khan'],"A.R. Murugadoss (story), Dilip Shukla (screenplay)","Hindi, Indian Sign Language",840506,India,24 Jan 2014,135 min,5.5,5 nominations.,tt1188982.jpg,"[6626, 11810, 14699, 9609]",[3474]
Singham Returns,"Action, Drama","['Kareena Kapoor', 'Ajay Devgn', 'Anupam Kher', 'Mahesh Manjrekar']",['Rohit Shetty'],"Rohit Shetty (story), Yunus Sajawal (screenplay), Farhad (dialogue), Sajid (dialogue)",Hindi,1231550,India,15 Aug 2014,142 min,5.8,1 win & 1 nomination.,tt2309764.jpg,"[9239, 10460, 7231, 6629]",[1421]
The Rover,"Crime, Drama","['Guy Pearce', 'Chan Kien', 'Tek Kong Lim', 'Tawanda Manyimo']",['David Michôd'],"Joel Edgerton (based on a story by), David Michôd (based on a story by), David Michôd","English, Chinese",1109199,"Australia, USA",20 Jun 2014,103 min,6.4,3 wins & 19 nominations.,tt2345737.jpg,"[10722, 7592, 12198, 5651]",[390]
The Captive,"Crime, Drama, Mystery","['Kevin Durand', 'Alexia Fast', 'Mireille Enos', 'Rosario Dawson']",['Atom Egoyan'],"Atom Egoyan (screenplay), David Fraser (screenplay), Atom Egoyan (story)",English,0,Canada,12 Dec 2014,112 min,5.9,1 win & 7 nominations.,tt2326612.jpg,"[10033, 5469, 10176, 2774]",[902]
Haider,"Action, Crime, Drama","['Tabu', 'Shahid Kapoor', 'Shraddha Kapoor', 'Kay Kay Menon']",['Vishal Bhardwaj'],William Shakespeare (based on the play \,Hindi,901610,India,02 Oct 2014,160 min,8.3,14 wins & 31 nominations.,tt3390572.jpg,"[11810, 369, 8241, 14814]",[869]
Seal Team Eight: Behind Enemy Lines,"Action, Drama, War","['Tom Sizemore', 'Lex Shrapnel', 'Anthony Oseyemi', 'Michael Everson']",['Roel Reiné'],"Brendan Cowles, Shane Kuhn, Roel Reiné (story)",English,0,USA,01 Apr 2014,98 min,4.5,,tt2992552.jpg,"[6291, 11885, 11594, 5396]",[2461]
Kochadaiiyaan,"Animation, Action, Adventure","['Rajinikanth', 'Deepika Padukone', 'Sarath Kumar', 'Jackie Shroff']",['Soundarya R. Ashwin'],K.S. Ravikumar,"Tamil, Telugu, Hindi, Panjabi, Malayalam, Bhojpuri, English, Spanish, French, Japanese, Korean, Chinese",817192,India,23 May 2014,124 min,6.7,1 nomination.,tt2339505.jpg,"[11859, 1660, 13917, 1102]",[3331]
Ek Villain,"Action, Crime, Drama","['Sidharth Malhotra', 'Riteish Deshmukh', 'Shraddha Kapoor', 'Shaad Randhawa']",['Mohit Suri'],"Tushar Hiranandani, Milap Zaveri (dialogue)",Hindi,414116,India,27 Jun 2014,129 min,6.4,7 wins & 8 nominations.,tt3175038.jpg,"[15469, 7654, 8241, 3164]",[4301]
"Men, Women & Children","Comedy, Drama","['Adam Sandler', 'Jennifer Garner', 'Rosemarie DeWitt', 'Judy Greer']",['Jason Reitman'],"Jason Reitman (screenplay), Erin Cressida Wilson (screenplay), Chad Kultgen (novel)",English,461162,USA,17 Oct 2014,119 min,6.7,,tt3179568.jpg,"[2750, 13679, 7096, 8631]",[2086]
Mary Kom,"Biography, Drama, Sport","['Robin Das', 'Priyanka Chopra', 'Zachary Coffin', 'Shubham Gaur']",['Omung Kumar'],"Saiwyn Quadras (story), Ramendra Vasishth (dialogue), Karan Singh Rathore (dialogue)",Hindi,590165,India,05 Sep 2014,122 min,6.8,4 wins & 14 nominations.,tt3001638.jpg,"[2821, 10960, 688, 8296]",[4141]
Finding Fanny,"Comedy, Drama, Romance","['Deepika Padukone', 'Arjun Kapoor', 'Naseeruddin Shah', 'Dimple Kapadia']",['Homi Adajania'],"Homi Adajania, Kersi Khambatta","Hindi, English, Konkani",515393,India,12 Sep 2014,102 min,5.9,2 wins & 28 nominations.,tt3142688.jpg,"[1660, 707, 5027, 2309]",[72]
The One I Love,"Comedy, Drama, Romance","['Mark Duplass', 'Elisabeth Moss', 'Ted Danson', 'Kiana Cason']",['Charlie McDowell'],Justin Lader,English,511635,USA,08 Aug 2014,91 min,7.1,2 wins & 2 nominations.,tt2756032.jpg,"[6128, 1285, 2185, 15369]",[957]
The Two Faces of January,"Romance, Thriller","['Oscar Isaac', 'Viggo Mortensen', 'Kirsten Dunst', 'Daisy Bevan']",['Hossein Amini'],"Hossein Amini, Patricia Highsmith (based on the novel by)","English, Greek, Turkish",506067,"UK, France, USA",28 Aug 2014,96 min,6.2,3 nominations.,tt1976000.jpg,"[9471, 11310, 9851, 6797]",[2156]
Happy Ending,"Comedy, Romance","['Saif Ali Khan', 'Ileana', 'Kalki Koechlin', 'Ranvir Shorey']","['Krishna D.K.', 'Raj Nidimoru']","Raj Nidimoru (story), Krishna D.K. (story), Sita Menon (story), Raj Nidimoru (screenplay), Krishna D.K. (screenplay), Sita Menon (screenplay), Hussain Dalal (dialogue)",Hindi,311729,India,21 Nov 2014,135 min,5.5,1 win & 2 nominations.,tt3017412.jpg,"[7971, 8883, 5381, 9842]","[2252, 4330]"
Elsa & Fred,"Comedy, Drama, Romance","['Shirley MacLaine', 'Christopher Plummer', 'Marcia Gay Harden', 'Wendell Pierce']",['Michael Radford'],"Anna Pavignano, Michael Radford",English,0,"USA, Canada, Mexico, Puerto Rico",07 Nov 2014,97 min,6.6,1 win & 1 nomination.,tt2113659.jpg,"[2088, 1120, 7885, 4489]",[706]
Main Tera Hero,"Action, Comedy, Romance","['Nargis Fakhri', 'Salman Khan', 'Anupam Kher', 'Varun Dhawan']",['David Dhawan'],"Tushar Hiranandani (story), Milap Zaveri (dialogue)",Hindi,274579,India,04 Apr 2014,128 min,5.3,1 win & 3 nominations.,tt2762334.jpg,"[4244, 6626, 7231, 15241]",[3242]
Rob the Mob,"Crime, Drama","['Michael Pitt', 'Nina Arianda', 'Andy Garcia', 'Ray Romano']",['Raymond De Felitta'],Jonathan Fernandez,English,206909,USA,15 Mar 2014,104 min,6.3,,tt2481480.jpg,"[7836, 14345, 6053, 11620]",[1]
Listen Up Philip,"Comedy, Drama","['Jason Schwartzman', 'Elisabeth Moss', 'Krysten Ritter', 'Joséphine de La Baume']",['Alex Ross Perry'],Alex Ross Perry,English,137600,"USA, Greece",21 Oct 2014,108 min,6.4,2 wins & 10 nominations.,tt3093546.jpg,"[15304, 1285, 10280, 10523]",[487]
God's Pocket,"Crime, Drama","['Christina Hendricks', 'Philip Seymour Hoffman', 'Eddie Marsan', 'Caleb Landry Jones']",['John Slattery'],"Peter Dexter (novel), Alex Metcalf (screenplay), John Slattery (screenplay)",English,104401,USA,08 Aug 2014,88 min,6.1,1 nomination.,tt2920808.jpg,"[12657, 13413, 10991, 11357]",[2389]
Finding Fela!,"Documentary, Biography, History","['Fela Kuti', 'Yeni Kuti', 'Femi Kuti', 'Seun Kuti']",['Alex Gibney'],,English,0,USA,11 Jun 2015,119 min,7.0,1 nomination.,tt2194328.jpg,"[4020, 10379, 1577, 7129]",[2955]
Duran Duran: Unstaged,"Documentary, Music","['Simon Le Bon', 'John Taylor', 'Roger Taylor', 'Nick Rhodes']",['David Lynch'],,English,0,USA,04 Dec 2014,121 min,6.8,,tt2133214.jpg,"[9399, 13158, 7090, 8892]",[2708]
Six Dance Lessons in Six Weeks,"Comedy, Drama","['Gena Rowlands', 'Cheyenne Jackson', 'Julian Sands', 'Jacki Weaver']",['Arthur Allan Seidelman'],Richard Alfieri,English,73613,Hungary,12 Dec 2014,107 min,6.9,,tt1670994.jpg,"[656, 7997, 9717, 14651]",[1474]
Life After Beth,"Comedy, Drama, Horror","['Aubrey Plaza', 'Dane DeHaan', 'John C. Reilly', 'Molly Shannon']",['Jeff Baena'],Jeff Baena,English,80315,USA,15 Jul 2014,89 min,5.6,6 nominations.,tt2581244.jpg,"[14868, 11372, 1619, 11253]",[2047]
Better Living Through Chemistry,"Comedy, Drama","['Sam Rockwell', 'Olivia Wilde', 'Michelle Monaghan', 'Jane Fonda']","['Geoff Moore', 'David Posamentier']","Geoff Moore, David Posamentier",English,72273,"USA, UK",14 Mar 2014,91 min,6.3,,tt1609479.jpg,"[15357, 2820, 8144, 610]","[3997, 2057]"
Take Me to the River,"Documentary, Music","['Terrence Howard', 'James Alexander', 'Al Bell', 'William Bell']",['Martin Shore'],"Rick Clark, Jerry Harrison, Julie Janata, Martin Shore, Zac Stanford",English,15189,USA,11 Mar 2014,95 min,7.3,5 wins.,tt3498950.jpg,"[332, 5918, 11375, 5625]",[4832]
Frontera,"Drama, Western","['Ed Harris', 'Michael Peña', 'Eva Longoria', 'Amy Madigan']",['Michael Berry'],"Michael Berry, Louis Moulinet","English, Spanish, Persian",59306,USA,31 Jul 2014,103 min,6.6,1 win.,tt2510028.jpg,"[12188, 797, 13007, 986]",[3822]
Walk of Shame,Comedy,"['Elizabeth Banks', 'James Marsden', 'Gillian Jacobs', 'Sarah Wright']",['Steven Brill'],Steven Brill,English,39751,USA,01 May 2014,95 min,6.0,,tt2463288.jpg,"[10335, 959, 10534, 8552]",[1694]
Rudderless,"Comedy, Drama, Music","['Miles Heizer', 'Alexandra Lovelace', 'Billy Crudup', 'Casey Twenter']",['William H. Macy'],"Casey Twenter, Jeff Robison, William H. Macy",English,37440,USA,21 Feb 2015,105 min,7.5,1 win.,tt1798243.jpg,"[7677, 12031, 11447, 13773]",[730]
The Bag Man,"Crime, Drama, Thriller","['John Cusack', 'Rebecca Da Costa', 'Robert De Niro', 'Crispin Glover']",['David Grovic'],"David Grovic, Paul Conway, James Russo (original screenplay \",English,48817,"Bahamas, USA",20 Mar 2014,108 min,5.3,,tt2212008.jpg,"[7752, 12025, 9311, 5329]",[4689]
Hellion,"Drama, Thriller","['Aaron Paul', 'Juliette Lewis', 'Josh Wiggins', 'Deke Garner']",['Kat Candler'],Kat Candler,English,40753,USA,13 Jun 2014,99 min,6.1,3 wins & 5 nominations.,tt3186318.jpg,"[324, 7134, 3005, 9669]",[182]
Low Down,"Biography, Drama, Music","['John Hawkes', 'Elle Fanning', 'Glenn Close', 'Peter Dinklage']",['Jeff Preiss'],"Amy Albany (memoir), Topper Lilien (screenplay), Amy Albany (screenplay), Topper Lilien, Amy Albany (memoir), Amy Albany",English,44500,USA,27 Jan 2015,114 min,6.2,2 wins & 3 nominations.,tt1864405.jpg,"[8529, 9385, 8676, 15097]",[2039]
NOW: In the Wings on a World Stage,Documentary,"['Kevin Spacey', 'Maureen Anderman', 'Stephen Lee Anderson', 'Jeremy Bobb']",['Jeremy Whelehan'],,English,37200,USA,02 May 2014,97 min,7.2,,tt3608848.jpg,"[6368, 14300, 2492, 14081]",[760]
Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy","['Megan Fox', 'Will Arnett', 'William Fichtner', 'Alan Ritchson']",['Jonathan Liebesman'],"Josh Appelbaum, André Nemec, Evan Daugherty, Peter Laird (Teenage Mutant Ninja Turtles characters), Kevin Eastman (Teenage Mutant Ninja Turtles characters)","English, Japanese",190871240,USA,08 Aug 2014,101 min,5.9,1 win & 10 nominations.,tt1291150.jpg,"[4500, 8056, 95, 10627]",[4081]
The Hero of Color City,"Animation, Family","['Elizabeth Daily', 'Christina Ricci', 'Tom Lowell', 'Jess Harnell']",['Frank Gladstone'],"Jess Kedward (screenplay), J.P. McCormick (screenplay), Kirsty Peart (screenplay), Rich Raczelowski (screenplay)","English, Hindi",31826,"USA, India, South Korea",09 Oct 2014,77 min,4.2,,tt0498351.jpg,"[13968, 15402, 11793, 3847]",[2669]
Happy Christmas,"Comedy, Drama","['Anna Kendrick', 'Melanie Lynskey', 'Mark Webber', 'Lena Dunham']",['Joe Swanberg'],Joe Swanberg (screenplay),English,30084,USA,26 Jun 2014,82 min,5.6,2 nominations.,tt2955096.jpg,"[4135, 2428, 882, 1959]",[382]
Last Weekend,"Comedy, Drama","['Patricia Clarkson', 'Julio Oscar Mechoso', 'Zachary Booth', 'Rutina Wesley']","['Tom Dolby', 'Tom Williams']",Tom Dolby,English,6120,USA,18 Jun 2014,94 min,5.3,,tt2435458.jpg,"[7101, 10867, 6342, 13216]","[3763, 794]"
Video Games: The Movie,"Documentary, Animation, History","['Sean Astin', 'Al Alcorn', 'Peter Armstrong', 'Cliff Bleszinski']",['Jeremy Snead'],Jeremy Snead,English,23043,USA,18 Jul 2014,101 min,6.1,,tt3214002.jpg,"[4332, 11038, 4959, 1654]",[2029]
Kelly & Cal,"Comedy, Drama","['Juliette Lewis', 'Jonny Weston', 'Josh Hopkins', 'Cybill Shepherd']",['Jen McGowan'],Amy Lowe Starbin,English,5387,USA,07 Mar 2014,111 min,6.2,1 win & 1 nomination.,tt3082826.jpg,"[7134, 12907, 7882, 11388]",[1978]
Barefoot,"Comedy, Drama, Romance","['Evan Rachel Wood', 'Scott Speedman', 'Treat Williams', 'Kate Burton']",['Andrew Fleming'],Stephen Zotnowski,English,11766,USA,04 Sep 2014,90 min,6.6,1 nomination.,tt2355495.jpg,"[4043, 6749, 8319, 8876]",[2802]
A Long Way Down,"Comedy, Drama","['Pierce Brosnan', 'Toni Collette', 'Imogen Poots', 'Aaron Paul']",['Pascal Chaumeil'],"Nick Hornby (novel), Jack Thorne (screenplay)",English,13093,"UK, Germany",05 Jun 2014,96 min,6.4,,tt0458413.jpg,"[4470, 14070, 12781, 324]",[1105]
Days and Nights,"Comedy, Drama","['Ben Whishaw', 'Katie Holmes', 'Mark Rylance', 'Allison Janney']",['Christian Camargo'],Christian Camargo,English,6003,USA,09 Apr 2015,92 min,4.8,,tt2359381.jpg,"[5870, 11943, 7711, 3346]",[4074]
Bhopal: A Prayer for Rain,"Drama, History","['Mischa Barton', 'Martin Sheen', 'Kal Penn', 'Tannishtha Chatterjee']",['Ravi Kumar'],"Ravi Kumar, David Brooks, Ravi Kumar","English, Hindi",5948,"UK, India",07 Nov 2014,96 min,7.4,1 nomination.,tt0839742.jpg,"[9195, 6417, 1329, 2094]",[4506]
You're Not You,Drama,"['Hilary Swank', 'Emmy Rossum', 'Josh Duhamel', 'Stephanie Beatriz']",['George C. Wolfe'],"Shana Feste (screenplay), Jordan Roberts (screenplay), Michelle Wildgen (based on the book by), Jordan Roberts","English, American Sign Language",0,USA,26 Nov 2014,102 min,7.4,1 nomination.,tt1198156.jpg,"[5343, 7481, 1390, 10619]",[4845]
Comet,"Comedy, Drama, Romance","['Justin Long', 'Kayla Servi', 'Eric Winter', 'Emmy Rossum']",['Sam Esmail'],Sam Esmail,English,0,USA,05 Dec 2014,91 min,6.7,2 nominations.,tt2965412.jpg,"[6414, 4726, 11631, 7481]",[1614]
Eternity: The Movie,"Comedy, Music, Musical","['Barrett Crake', 'Myko Olivier', 'Eric Roberts', 'Martin Kove']",['Ian Thorpe'],"Joey Abi-Loutfi (screenplay), Joey Abi-Loutfi, Eric E. Staley (screenplay), Ian Thorpe (screenplay)",English,0,USA,17 Oct 2014,88 min,7.2,1 win & 1 nomination.,tt2309762.jpg,"[9089, 5033, 334, 13657]",[1391]
Two-Bit Waltz,"Comedy, Drama, Family","['Clara Mamet', 'William H. Macy', 'Jared Gilman', 'Rebecca Pidgeon']",['Clara Mamet'],Clara Mamet,English,1989,USA,19 Apr 2014,81 min,4.9,,tt2570224.jpg,"[13275, 8354, 2064, 4612]",[2102]
Open Windows,"Action, Crime, Thriller","['Elijah Wood', 'Sasha Grey', 'Neil Maskell', 'Michelle Jenner']",['Nacho Vigalondo'],Nacho Vigalondo,"English, Spanish, French",0,"Spain, USA",02 Oct 2014,100 min,5.2,2 wins & 5 nominations.,tt2409818.jpg,"[7732, 3738, 2315, 6258]",[130]
Jurassic World,"Action, Adventure, Sci-Fi","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio""]",['Colin Trevorrow'],"Rick Jaffa (screenplay), Amanda Silver (screenplay), Colin Trevorrow (screenplay), Derek Connolly (screenplay), Rick Jaffa (story), Amanda Silver (story), Michael Crichton (characters)",English,652177271,"USA, Japan",12 Jun 2015,124 min,7.1,3 wins & 48 nominations.,tt0369610.jpg,"[1759, 10815, 4457, 14415]",[2041]
Avengers: Age of Ultron,"Action, Adventure, Sci-Fi","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",['Joss Whedon'],"Joss Whedon, Stan Lee (Marvel comics), Jack Kirby (Marvel comics)",English,458991599,USA,01 May 2015,141 min,7.5,2 wins & 25 nominations.,tt2395427.jpg,"[12997, 7338, 7682, 12096]",[4717]
Inside Out,"Animation, Adventure, Comedy","['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader']","['Pete Docter', 'Ronnie Del Carmen']","Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay)",English,356454367,USA,19 Jun 2015,95 min,8.3,Won 1 Oscar. Another 73 wins & 86 nominations.,tt2096673.jpg,"[9118, 13895, 1883, 3277]","[3635, 3939]"
Furious 7,"Action, Crime, Thriller","['Vin Diesel', 'Paul Walker', 'Jason Statham', 'Michelle Rodriguez']",['James Wan'],"Chris Morgan, Gary Scott Thompson (characters)",English,350034110,"USA, Japan, China",03 Apr 2015,137 min,7.3,Nominated for 1 Golden Globe. Another 15 wins & 18 nominations.,tt2820852.jpg,"[14552, 301, 12675, 12097]",[1527]
Minions,"Animation, Comedy, Family","['Sandra Bullock', 'Jon Hamm', 'Michael Keaton', 'Allison Janney']","['Kyle Balda', 'Pierre Coffin']",Brian Lynch,"English, Spanish",336029560,USA,10 Jul 2015,91 min,6.5,Nominated for 1 BAFTA Film Award. Another 13 nominations.,tt2293640.jpg,"[10463, 7886, 85, 3346]","[40, 2044]"
The Hunger Games: Mockingjay - Part 2,"Adventure, Sci-Fi","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson']",['Francis Lawrence'],"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)",English,281666058,"USA, Germany",20 Nov 2015,137 min,6.9,9 nominations.,tt1951266.jpg,"[4798, 741, 53, 12441]",[2846]
The Martian,"Adventure, Drama, Sci-Fi","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels']",['Ridley Scott'],"Drew Goddard (screenplay), Andy Weir (book)","English, Mandarin",228430993,"USA, UK",02 Oct 2015,144 min,8.1,Nominated for 7 Oscars. Another 31 wins & 161 nominations.,tt3659388.jpg,"[14369, 14286, 12190, 7470]",[1757]
Spectre,"Action, Adventure, Thriller","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes']",['Sam Mendes'],"John Logan (screenplay), Neal Purvis (screenplay), Robert Wade (screenplay), Jez Butterworth (screenplay), John Logan (story), Neal Purvis (story), Robert Wade (story), Ian Fleming (characters)","English, Spanish, Italian, German, French",200074175,"UK, USA",06 Nov 2015,148 min,6.9,Won 1 Oscar. Another 7 wins & 22 nominations.,tt2379713.jpg,"[3296, 9725, 6535, 8635]",[1711]
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller","['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Rebecca Ferguson']",['Christopher McQuarrie'],"Christopher McQuarrie (screenplay), Christopher McQuarrie (story), Drew Pearce (story), Bruce Geller (television series)","English, Swedish, German",195000874,"USA, China",31 Jul 2015,131 min,7.5,2 wins & 12 nominations.,tt2381249.jpg,"[9466, 11306, 13648, 11434]",[163]
Pitch Perfect 2,"Comedy, Music","['Anna Kendrick', 'Rebel Wilson', 'Hailee Steinfeld', 'Brittany Snow']",['Elizabeth Banks'],"Kay Cannon, Mickey Rapkin (characters)",English,183436380,USA,15 May 2015,115 min,6.5,6 wins & 12 nominations.,tt2848292.jpg,"[4135, 12619, 870, 13812]",[3303]
The Revenant,"Adventure, Drama, Thriller","['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson', 'Will Poulter']",['Alejandro González Iñárritu'],"Mark L. Smith (screenplay), Alejandro González Iñárritu (screenplay), Michael Punke (based in part on the novel by)","English, Pawnee, French",182599867,USA,08 Jan 2016,156 min,8.2,Won 3 Oscars. Another 66 wins & 150 nominations.,tt1663202.jpg,"[8757, 11484, 15385, 440]",[1661]
Ant-Man,"Action, Adventure, Sci-Fi","['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll']",['Peyton Reed'],"Edgar Wright (screenplay), Joe Cornish (screenplay), Adam McKay (screenplay), Paul Rudd (screenplay), Edgar Wright (story), Joe Cornish (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)",English,180191634,USA,17 Jul 2015,117 min,7.4,Nominated for 1 BAFTA Film Award. Another 1 win & 24 nominations.,tt0478970.jpg,"[10135, 11691, 245, 6621]",[4000]
Hotel Transylvania 2,"Animation, Comedy, Family","['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James']",['Genndy Tartakovsky'],"Robert Smigel, Adam Sandler",English,169692572,USA,25 Sep 2015,89 min,6.8,6 nominations.,tt2510894.jpg,"[2750, 10128, 13259, 14649]",[835]
Fifty Shades of Grey,"Drama, Romance","['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford']",['Sam Taylor-Johnson'],"Kelly Marcel (screenplay), E.L. James (novel)",English,166147885,USA,13 Feb 2015,125 min,4.1,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,tt2322441.jpg,"[5609, 12007, 3832, 11101]",[1723]
The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy","['Antonio Banderas', 'Eric Bauza', 'Tim Conway', 'Eddie Deezen']","['Paul Tibbitt', 'Mike Mitchell']","Glenn Berger (screenplay), Jonathan Aibel (screenplay), Stephen Hillenburg (story), Paul Tibbitt (story), Stephen Hillenburg (series \",English,162495848,USA,06 Feb 2015,92 min,6.0,4 nominations.,tt2279373.jpg,"[13091, 1098, 832, 2594]","[1872, 474]"
